Contract,tenure,MonthlyCharges,TechSupport,TotalCharges,InternetService,Partner,OnlineSecurity,Dependents,PaymentMethod,DeviceProtection,StreamingTV,OnlineBackup,PhoneService,Churn
0,1,29.85,0,29.85,0,1,0,0,2,0,0,2,0,0
1,34,56.95,0,1889.5,0,0,2,0,3,2,0,0,1,0
0,2,53.85,0,108.15,0,0,2,0,3,0,0,2,1,1
1,45,42.3,2,1840.75,0,0,2,0,0,2,0,0,0,0
0,2,70.7,0,151.65,1,0,0,0,2,0,0,0,1,1
0,8,99.65,0,820.5,1,0,0,0,2,2,2,0,1,1
0,22,89.1,0,1949.4,1,0,0,1,1,0,2,2,1,0
0,10,29.75,0,301.9,0,0,2,0,3,0,0,0,0,0
0,28,104.8,2,3046.05,1,1,0,0,2,2,2,0,1,1
1,62,56.15,0,3487.95,0,0,2,1,0,0,0,2,1,0
0,13,49.95,0,587.45,0,1,2,1,3,0,0,0,1,0
2,16,18.95,1,326.8,2,0,1,0,1,1,1,1,1,0
1,58,100.35,0,5681.1,1,1,0,0,1,2,2,0,1,0
0,49,103.7,0,5036.3,1,0,0,0,0,2,2,2,1,1
0,25,105.5,2,2686.05,1,0,2,0,2,2,2,0,1,0
2,69,113.25,2,7895.15,1,1,2,1,1,2,2,2,1,0
1,52,20.65,1,1022.95,2,0,1,0,3,1,1,1,1,0
2,71,106.7,0,7382.25,1,0,2,1,0,2,2,0,1,0
0,10,55.2,2,528.35,0,1,0,1,1,2,0,0,1,1
0,21,90.05,0,1862.9,1,0,0,0,2,2,0,2,1,0
0,1,39.65,0,39.65,0,0,0,0,2,2,0,0,0,1
1,12,19.8,1,202.25,2,1,1,0,0,1,1,1,1,0
0,1,20.15,1,20.15,2,0,1,0,3,1,1,1,1,1
2,58,59.9,2,3505.1,0,1,0,0,1,0,0,2,1,0
0,49,59.6,2,2970.3,0,1,2,1,1,0,0,2,1,0
0,47,99.35,0,4749.15,1,1,0,1,2,0,2,2,1,1
0,1,30.2,0,30.2,0,1,0,1,2,0,0,2,0,1
2,72,90.25,2,6369.45,0,1,2,0,1,2,2,2,1,0
2,71,96.35,2,6766.95,1,1,2,0,1,2,0,2,1,0
0,2,95.5,0,181.65,1,1,0,0,1,2,2,0,1,0
1,27,66.15,2,1874.45,0,1,2,1,3,2,0,2,1,0
0,1,20.2,1,20.2,2,0,1,0,0,1,1,1,1,0
0,1,45.25,0,45.25,0,0,0,0,0,0,0,0,1,0
2,72,99.9,2,7251.7,1,1,2,1,0,0,2,2,1,0
0,5,69.7,0,316.9,1,0,0,0,2,0,0,0,1,1
0,46,74.8,0,3548.3,1,0,0,0,1,2,0,0,1,0
0,34,106.35,0,3549.25,1,0,0,0,2,2,2,2,1,1
0,11,97.85,0,1105.4,1,0,0,0,0,2,2,0,1,1
1,10,49.55,0,475.7,0,1,0,1,3,0,0,2,1,0
2,70,69.2,0,4872.35,0,1,2,1,1,0,2,2,1,0
1,17,20.75,1,418.25,2,1,1,1,3,1,1,1,1,0
2,63,79.85,2,4861.45,0,0,2,0,1,2,2,2,1,0
0,13,76.2,2,981.45,0,1,2,0,2,0,2,2,1,0
0,49,84.5,0,3906.7,1,0,0,0,2,0,0,0,1,0
0,2,49.25,0,97.0,0,0,0,0,3,0,0,2,1,0
0,2,80.65,0,144.15,1,0,0,0,2,0,2,0,1,1
2,52,79.75,2,4217.8,0,0,2,0,1,0,2,0,1,0
2,69,64.15,2,4254.1,0,1,2,1,1,2,0,0,1,0
0,43,90.25,0,3838.75,1,0,0,0,2,0,2,2,1,0
0,15,99.1,0,1426.4,1,0,2,0,1,0,2,2,1,1
0,25,69.5,2,1752.65,0,1,2,0,1,0,2,0,1,0
0,8,80.65,0,633.3,1,1,0,0,1,0,0,2,1,1
1,60,74.85,2,4456.35,0,1,2,1,1,2,0,2,1,0
0,18,95.45,0,1752.55,1,0,0,0,2,0,2,0,1,1
1,63,99.65,0,6311.2,1,1,2,1,1,0,2,0,1,0
1,66,108.45,2,7076.35,1,1,0,1,2,2,2,2,1,0
2,34,24.95,1,894.3,2,1,1,1,1,1,1,1,1,0
2,72,107.5,2,7853.7,1,0,0,0,1,2,2,0,1,0
0,47,100.5,0,4707.1,1,1,0,0,2,2,2,0,1,0
2,72,42.1,0,2962.0,0,1,2,0,0,2,0,2,0,0
1,18,54.4,2,957.1,0,1,0,1,1,2,0,0,1,0
0,9,94.4,0,857.25,1,0,0,0,2,0,2,0,1,1
0,3,75.3,2,244.1,0,0,0,0,2,0,2,2,1,0
1,47,78.9,0,3650.35,1,1,0,0,2,0,0,2,1,0
2,31,79.2,2,2497.2,0,0,0,0,3,2,2,2,1,0
2,50,20.15,1,930.9,2,1,1,1,0,1,1,1,1,0
0,10,79.85,0,887.35,1,0,2,0,3,2,0,0,1,0
0,1,49.05,2,49.05,0,0,0,0,3,0,0,0,1,0
1,52,20.4,1,1090.65,2,1,1,1,2,1,1,1,1,0
2,64,111.6,2,7099.0,1,1,2,1,0,2,2,0,1,0
2,62,24.25,1,1424.6,2,1,1,1,0,1,1,1,1,0
0,3,64.5,2,177.4,0,0,2,1,0,0,0,0,1,0
1,56,110.5,0,6139.5,1,0,2,0,2,2,2,2,1,0
1,46,55.65,0,2688.85,0,0,0,0,1,0,0,0,1,0
0,8,54.65,0,482.25,0,1,2,1,3,0,0,2,1,0
