TotalCharges,MonthlyCharges,tenure,Contract,OnlineSecurity,TechSupport,InternetService,DeviceProtection,OnlineBackup,Churn
1889.5,56.95,34,1,2,0,0,2,0,0
108.15,53.85,2,0,2,0,0,0,2,1
1840.75,42.3,45,1,2,2,0,2,0,0
151.65,70.7,2,0,0,0,1,0,0,1
820.5,99.65,8,0,0,0,1,2,0,1
1949.4,89.1,22,0,0,0,1,0,2,0
301.9,29.75,10,0,2,0,0,0,0,0
3046.05,104.8,28,0,0,2,1,2,0,1
3487.95,56.15,62,1,2,0,0,0,2,0
587.45,49.95,13,0,2,0,0,0,0,0
326.8,18.95,16,2,1,1,2,1,1,0
5681.1,100.35,58,1,0,0,1,2,0,0
5036.3,103.7,49,0,0,0,1,2,2,1
2686.05,105.5,25,0,2,2,1,2,0,0
7895.15,113.25,69,2,2,2,1,2,2,0
1022.95,20.65,52,1,1,1,2,1,1,0
7382.25,106.7,71,2,2,0,1,2,0,0
528.35,55.2,10,0,0,2,0,2,0,1
1862.9,90.05,21,0,0,0,1,2,2,0
39.65,39.65,1,0,0,0,0,2,0,1
202.25,19.8,12,1,1,1,2,1,1,0
20.15,20.15,1,0,1,1,2,1,1,1
3505.1,59.9,58,2,0,2,0,0,2,0
2970.3,59.6,49,0,2,2,0,0,2,0
4749.15,99.35,47,0,0,0,1,0,2,1
30.2,30.2,1,0,0,0,0,0,2,1
6369.45,90.25,72,2,2,2,0,2,2,0
6766.95,96.35,71,2,2,2,1,2,2,0
1874.45,66.15,27,1,2,2,0,2,2,0
20.2,20.2,1,0,1,1,2,1,1,0
7251.7,99.9,72,2,2,2,1,0,2,0
316.9,69.7,5,0,0,0,1,0,0,1
3548.3,74.8,46,0,0,0,1,2,0,0
3549.25,106.35,34,0,0,0,1,2,2,1
1105.4,97.85,11,0,0,0,1,2,0,1
475.7,49.55,10,1,0,0,0,0,2,0
4872.35,69.2,70,2,2,0,0,0,2,0
418.25,20.75,17,1,1,1,2,1,1,0
4861.45,79.85,63,2,2,2,0,2,2,0
981.45,76.2,13,0,2,2,0,0,2,0
3906.7,84.5,49,0,0,0,1,0,0,0
97.0,49.25,2,0,0,0,0,0,2,0
144.15,80.65,2,0,0,0,1,0,0,1
4217.8,79.75,52,2,2,2,0,0,0,0
4254.1,64.15,69,2,2,2,0,2,0,0
3838.75,90.25,43,0,0,0,1,0,2,0
1426.4,99.1,15,0,2,0,1,0,2,1
1752.65,69.5,25,0,2,2,0,0,0,0
633.3,80.65,8,0,0,0,1,0,2,1
4456.35,74.85,60,1,2,2,0,2,2,0
1752.55,95.45,18,0,0,0,1,0,0,1
6311.2,99.65,63,1,2,0,1,0,0,0
7076.35,108.45,66,1,0,2,1,2,2,0
894.3,24.95,34,2,1,1,2,1,1,0
7853.7,107.5,72,2,0,2,1,2,0,0
4707.1,100.5,47,0,0,0,1,2,0,0
2962.0,42.1,72,2,2,0,0,2,2,0
957.1,54.4,18,1,0,2,0,2,0,0
857.25,94.4,9,0,0,0,1,0,0,1
244.1,75.3,3,0,0,2,0,0,2,0
3650.35,78.9,47,1,0,0,1,0,2,0
2497.2,79.2,31,2,0,2,0,2,2,0
930.9,20.15,50,2,1,1,2,1,1,0
887.35,79.85,10,0,2,0,1,2,0,0
49.05,49.05,1,0,0,2,0,0,0,0
1090.65,20.4,52,1,1,1,2,1,1,0
7099.0,111.6,64,2,2,2,1,2,0,0
1424.6,24.25,62,2,1,1,2,1,1,0
177.4,64.5,3,0,2,2,0,0,0,0
6139.5,110.5,56,1,2,0,1,2,2,0
2688.85,55.65,46,1,0,0,0,0,0,0
482.25,54.65,8,0,2,0,0,0,2,0
2111.3,74.75,30,0,2,0,0,0,2,0
1216.6,25.9,45,1,1,1,2,1,1,0
79.35,79.35,1,0,0,0,1,0,0,1
565.35,50.55,11,0,2,0,0,0,0,0
496.9,75.15,7,0,0,0,1,2,0,1
4327.5,103.8,42,0,0,2,1,2,2,0
973.35,20.15,49,2,1,1,2,1,1,0
2215.45,62.15,35,1,2,0,0,0,0,0
1057.0,20.65,48,2,1,1,2,1,1,0
927.1,19.95,46,2,1,1,2,1,1,0
1009.25,33.75,29,0,0,0,0,0,0,0
2570.2,82.05,30,0,0,0,1,2,2,0
74.7,74.7,1,0,0,2,1,0,0,0
5714.25,84.0,66,2,2,2,0,2,0,0
7107.0,111.05,65,0,2,0,1,2,2,0
7459.05,100.9,72,2,0,0,1,2,2,0
927.35,78.95,12,0,2,0,1,0,0,1
4748.7,66.85,71,1,2,2,0,0,2,0
113.85,21.05,5,0,1,1,2,1,1,1
1107.2,21.0,52,2,1,1,2,1,1,0
2514.5,98.5,25,0,0,0,1,2,2,1
20.2,20.2,1,0,1,1,2,1,1,0
19.45,19.45,1,0,1,1,2,1,1,0
7611.85,110.0,68,2,0,2,1,2,2,1
7303.05,104.15,72,1,2,0,1,0,2,0
927.65,30.15,32,1,2,0,0,0,0,0
3921.3,94.35,43,1,0,0,1,0,0,0
1363.25,19.4,72,2,1,1,2,1,1,0
3042.25,57.95,52,1,2,2,0,2,0,0
3954.1,91.65,43,0,0,0,1,2,2,0
2868.15,76.5,37,0,0,0,1,0,0,1
3423.5,54.6,64,2,0,2,0,0,2,0
248.4,89.85,3,0,2,0,1,0,2,0
1064.65,100.25,10,0,2,0,1,0,0,1
835.15,20.65,41,2,1,1,2,1,1,0
2151.6,85.2,27,0,0,2,1,0,2,0
5515.45,99.8,56,1,0,0,1,2,0,0
112.75,20.7,6,0,1,1,2,1,1,0
229.55,74.4,3,0,0,0,1,0,0,1
62.9,20.85,4,0,1,1,2,1,1,0
3027.65,88.95,33,2,2,2,1,0,0,0
2135.5,78.05,27,0,0,0,1,2,0,1
1723.95,23.55,72,2,1,1,2,1,1,0
19.75,19.75,1,0,1,1,2,1,1,0
3985.35,56.45,71,1,2,0,0,0,2,0
1215.65,85.95,13,0,0,0,1,0,0,0
1502.65,58.6,25,0,2,0,0,2,2,1
3260.1,50.55,67,2,0,2,0,0,0,0
35.45,35.45,1,0,0,0,0,0,0,1
81.25,44.35,2,0,0,0,0,0,0,1
1188.2,25.7,43,2,1,1,2,1,1,0
1778.5,75.0,23,0,2,0,1,0,0,0
1277.75,20.2,64,2,1,1,2,1,1,0
1170.55,19.6,57,2,1,1,2,1,1,0
70.45,70.45,1,0,0,0,1,0,0,1
